mz,Sample1_erin_mass_listhotw_0001_5ppm_8m_000001.csv,Sample2_erin_mass_listhotw_0002_5ppm_8m_000002.csv,Sample3_erin_mass_listhotw_0003_5ppm_8m_000002.csv,Sample6_erin_mass_listhotw_0004_5ppm_8m_000003.csv,Sample8_erin_mass_listhotw_0005_5ppm_8m_000002.csv,Sample9_erin_mass_listhotw_0006_5ppm_8m_000002.csv,Sample10_erin_mass_listhotw_0007_5ppm_8m_000002.csv,Sample11_erin_mass_listhotw_0008_5ppm_8m_000001.csv,Sample12_erin_mass_listhotw_0009_5ppm_8m_000001.csv,Sample13_erin_mass_listhotw_0010_5ppm_8m_000001.csv,Sample14_erin_mass_listhotw_0010_5ppm_8m_000002.csv,Sample15_erin_mass_listhotw_0012_5ppm_8m_000001.csv,Sample16_erin_mass_listhotw_0013_5ppm_8m_000001.csv,Sample17_erin_mass_listhotw_0014_5ppm_8m_000001.csv,Sample18_erin_mass_listhotw_0015_5ppm_8m_000001.csv,Sample19_erin_mass_listhotw_0016_5ppm_8m_000001.csv,Sample20_erin_mass_listhotw_0017_5ppm_8m_000001.csv,Sample21_erin_mass_listhotw_0018_5ppm_8m_000001.csv,Sample22_erin_mass_listhotw_0019_5ppm_8m_000001.csv,Sample23_erin_mass_listhotw_0020_5ppm_8m_000001.csv,Sample24_erin_mass_listhotw_0021_5ppm_8m_000001.csv,Sample25_erin_mass_listhotw_0022_5ppm_8m_000001.csv,Sample26_erin_mass_listhotw_0023_5ppm_8m_000001.csv,Sample27_erin_mass_listhotw_0024_5ppm_8m_000001.csv,Sample28_erin_mass_listhotw_0025_5ppm_8m_000001.csv,Sample29_erin_mass_listhotw_0026_5ppm_8m_000001.csv,Sample30_erin_mass_listhotw_0027_5ppm_8m_000001.csv,Sample31_erin_mass_listhotw_0028_5ppm_8m_000001.csv,Sample32_erin_mass_listhotw_0029_5ppm_8m_000001.csv,Sample33_erin_mass_listhotw_0030_5ppm_8m_000001.csv,Sample34_erin_mass_listhotw_0031_5ppm_8m_000001.csv,Sample35_erin_mass_listhotw_0032_5ppm_8m_000001.csv,Sample36_erin_mass_listhotw_0033_5ppm_8m_000001.csv,Sample37_erin_mass_listhotw_0034_5ppm_8m_000001.csv,Sample38_erin_mass_listhotw_0035_5ppm_8m_000001.csv,Sample39_erin_mass_listhotw_0036_5ppm_8m_000001.csv,Sample40_erin_mass_listhotw_0037_5ppm_8m_000001.csv,Sample41_erin_mass_listhotw_0038_5ppm_8m_000001.csv,Sample42_erin_mass_listhotw_0039_5ppm_8m_000001.csv,Sample43_erin_mass_listhotw_0040_5ppm_8m_000001.csv,Sample44_erin_mass_listhotw_0041_5ppm_8m_000001.csv,Sample45_erin_mass_listhotw_0042_5ppm_8m_000001.csv,Sample46_erin_mass_listhotw_0043_5ppm_8m_000001.csv,Sample47_erin_mass_listhotw_0044_5ppm_8m_000001.csv,Sample48_erin_mass_listhotw_0045_5ppm_8m_000001.csv,Sample49_erin_mass_listhotw_0046_5ppm_8m_000001.csv,Sample50_erin_mass_listhotw_0047_5ppm_8m_000001.csv,Sample51_erin_mass_listhotw_0048_5ppm_8m_000001.csv,Sample52_erin_mass_listhotw_0049_5ppm_8m_000001.csv,Sample54_erin_mass_listhotw_0050_5ppm_8m_000001.csv,Sample55_erin_mass_listhotw_0051_5ppm_8m_000001.csv,Sample56_erin_mass_listhotw_0052_5ppm_8m_000001.csv,Sample57_erin_mass_listhotw_0053_5ppm_8m_000001.csv,Sample58_erin_mass_listhotw_0054_5ppm_8m_000001.csv,Sample59_erin_mass_listhotw_0055_5ppm_8m_000001.csv,Sample60_erin_mass_listhotw_0056_5ppm_8m_000001.csv,Sample61_erin_mass_listhotw_0057_5ppm_8m_000001.csv,Sample62_erin_mass_listhotw_0058_5ppm_8m_000001.csv,Sample63_erin_mass_listhotw_0059_5ppm_8m_000001.csv,Sample64_erin_mass_listhotw_0060_5ppm_8m_000001.csv,Sample65_erin_mass_listhotw_0061_5ppm_8m_000001.csv,Sample66_erin_mass_listhotw_0062_5ppm_8m_000001.csv,Sample67_erin_mass_listhotw_0063_5ppm_8m_000001.csv,Sample68_erin_mass_listhotw_0064_5ppm_8m_000001.csv,Sample69_erin_mass_listhotw_0065_5ppm_8m_000001.csv,Sample70_erin_mass_listhotw_0066_5ppm_8m_000001.csv
111.0816388,2127000,2389995,2111585,2405131,2129756,2246906,2449127,2217764,NA,NA,NA,2264756,2232443,NA,NA,NA,NA,2406404,2262504,NA,2325376,NA,NA,NA,NA,NA,NA,2356642,2118554,NA,NA,NA,2121336,2480582,NA,NA,NA,2268274,NA,2147810,2156911,NA,NA,NA,NA,NA,NA,2301077,NA,NA,2161097,2175555,NA,NA,NA,NA,NA,NA,2121327,NA,2525964,2129128,2320801,NA,2173978,2272597
113.0244466,5800926,8081251,6848150,8110439,8487854,11470522,10495545,6484081,14973323,3582493,2958229,5783968,7475242,4302467,3591704,4751521,3009364,4337887,4512208,4932921,4538544,2253430,3944783,2843932,4861452,3293483,2551389,3890127,2979040,4910767,2264628,2938152,3104153,13038265,2783735,NA,6408517,2261534,7788127,2571938,2290781,3489603,3659286,2615163,2530810,3705132,2634619,2136624,2212247,2660357,2908278,2288193,2816037,2184288,2324877,2315850,2258829,2761064,2610160,2420273,2114276,2288414,2345664,2226781,2121743,2118783
115.0037536,3902242,6309676,7544613,7538087,8349691,8104708,8715909,5031605,14146011,2689762,2728269,4379553,6161104,2988416,2861967,3088110,3279698,3139614,4698328,2919454,5561271,2357204,4115826,NA,3255822,2960367,2203623,3167570,2185413,4646848,NA,3681693,2440899,11653893,NA,2366567,5147133,NA,4975392,NA,2392930,2213766,2593182,NA,3382773,3229331,2775582,NA,2115402,2092531,2497369,NA,2897598,2245781,2610346,2635598,NA,2210692,2099763,2535734,2421950,NA,2131589,2473443,2251248,3012780
115.0554348,NA,2339382,2160816,2389489,NA,NA,NA,2413055,2116038,NA,NA,NA,NA,NA,2415289,2239673,NA,NA,NA,2103208,NA,NA,2419612,NA,2153688,NA,NA,2114780,2393679,2213802,2171239,NA,2125406,NA,2143029,NA,NA,2349770,2346922,NA,NA,NA,NA,2174596,NA,2165438,NA,2560087,2213060,2354941,NA,NA,NA,2146079,NA,NA,2325946,NA,NA,2379329,NA,2233854,NA,NA,NA,NA
115.0764354,NA,NA,NA,NA,NA,NA,2109204,NA,NA,2212720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2575585,NA,NA,NA,NA,NA,NA,NA,NA,2980603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117.0192155,5699974,5769876,7074457,6781443,6757866,5735662,9603444,6207126,9129679,2566180,NA,4446912,NA,NA,2875078,5651677,2137355,2260826,4666112,3282081,2199069,2384045,2222292,2562515,NA,2574673,2108753,NA,2181767,3797238,2201700,2377089,3068461,9261300,NA,2639039,7248077,NA,5795326,2131600,2321926,2627433,2555398,2529813,NA,2152443,2772286,2143077,NA,2241909,2320633,NA,2927154,2153473,2338659,2190833,2152656,2385114,NA,2159674,2404018,NA,NA,NA,2126453,NA
117.0194023,2288629,2213876,2149785,2202563,2108650,2280430,4782452,5933974,4994511,2106021,NA,2183232,NA,NA,2298846,2529214,2309484,NA,2356800,NA,2254591,NA,2363604,NA,NA,2113153,NA,NA,NA,NA,2553012,NA,2226093,NA,NA,NA,NA,NA,2413758,NA,NA,NA,2461477,NA,NA,2495227,NA,NA,NA,NA,NA,NA,NA,NA,2215042,2223984,2374448,2287947,NA,NA,2441074,NA,NA,NA,2155430,NA
117.0345308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2155806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2226830,2170123,NA,NA
125.0244703,9996797,7296823,16336786,17282630,17652924,19352990,18116164,14370561,21442506,4010235,3075398,6558355,9247807,4271354,5595134,4683315,4601501,5159927,3295709,4475740,6822260,3562390,3859264,2330348,6769612,5195717,5222596,3970612,3764093,5004861,2913477,5563789,4058078,22357960,2126253,3146148,9943734,3023833,10029647,4351814,3207042,3694550,2984931,3386579,4797518,5090198,3877350,2642441,3398399,3766030,4484442,3286809,4893932,3357192,2826248,2367011,2471475,2325776,4059261,2376095,3136341,2146680,3292300,2457414,3448680,2466732
127.0035723,5208387,6923918,4948744,6408569,5181988,8091897,6034346,6088771,11137600,NA,NA,2444812,NA,NA,NA,3173788,2259977,NA,NA,2265187,NA,2179775,NA,NA,NA,NA,2609182,NA,NA,2151031,NA,2256724,NA,8091952,NA,NA,4848074,NA,4234376,NA,NA,NA,NA,NA,2516139,4596969,2256422,NA,NA,NA,NA,NA,2188293,NA,NA,NA,NA,2115698,NA,NA,NA,NA,NA,2320655,2408160,2322005
