mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
111.0816388,0.8974839,112.0888146,C_7 H_12 O_1,C7H12O,C_7 H_11 O_1,260,7,1.714,0.143,7,12,1,0,0,0,0,0,0
113.0244466,0.2556745,114.0316939,C_5 H_6 O_3,C5H6O3,C_5 H_5 O_3,260,5,1.2,0.6,5,6,3,0,0,0,0,0,0
115.0037536,0.616881,116.0109585,C_4 H_4 O_4,C4H4O4,C_4 H_3 O_4,214,4,1,1,4,4,4,0,0,0,0,0,0
115.0554348,0.9587145,116.0626,C_9 H_8,C9H8,C_9 H_7,387,9,0.889,0,9,8,0,0,0,0,0,0,0
115.0764354,0.1500813,116.0837292,C_6 H_12 O_2,C6H12O2,C_6 H_11 O_2,134,6,2,0.333,6,12,2,0,0,0,0,0,0
117.0192155,0.9877867,118.0266085,C_4 H_6 O_4,C4H6O4,C_4 H_5 O_4,134,4,1.5,1,4,6,4,0,0,0,0,0,0
117.0194023,0.5949587,118.0266085,C_4 H_6 O_4,C4H6O4,C_4 H_5 O_4,134,4,1.5,1,4,6,4,0,0,0,0,0,0
117.0345308,0.4865734,118.0418646,C_8 H_6 O_1,C8H6O,C_8 H_5 O_1,391,8,0.75,0.125,8,6,1,0,0,0,0,0,0
125.0244703,0.4195768,126.0316939,C_6 H_6 O_3,C6H6O3,C_6 H_5 O_3,330,6,1,0.5,6,6,3,0,0,0,0,0,0
127.0035723,0.8573492,128.0109585,C_5 H_4 O_4,C5H4O4,C_5 H_3 O_4,277,5,0.8,0.8,5,4,4,0,0,0,0,0,0
127.0036582,0.1862185,128.0109585,C_5 H_4 O_4,C5H4O4,C_5 H_3 O_4,277,5,0.8,0.8,5,4,4,0,0,0,0,0,0
127.0400479,0.1524827,128.0473439,C_6 H_8 O_3,C6H8O3,C_6 H_7 O_3,260,6,1.333,0.5,6,8,3,0,0,0,0,0,0
129.0193321,0.0006383,130.0266085,C_5 H_6 O_4,C5H6O4,C_5 H_5 O_4,214,5,1.2,0.8,5,6,4,0,0,0,0,0,0
129.0556215,0.7377507,130.0629939,C_6 H_10 O_3,C6H10O3,C_6 H_9 O_3,170,6,1.667,0.5,6,10,3,0,0,0,0,0,0
129.0558082,0.6975615,130.0629939,C_6 H_10 O_3,C6H10O3,C_6 H_9 O_3,170,6,1.667,0.5,6,10,3,0,0,0,0,0,0
131.0501834,0.4149027,132.0575146,C_9 H_8 O_1,C9H8O,C_9 H_7 O_1,391,9,0.889,0.111,9,8,1,0,0,0,0,0,0
131.0502048,0.2528217,132.0575146,C_9 H_8 O_1,C9H8O,C_9 H_7 O_1,391,9,0.889,0.111,9,8,1,0,0,0,0,0,0
133.0659832,0.7087841,134.0731646,C_9 H_10 O_1,C9H10O,C_9 H_9 O_1,379,9,1.111,0.111,9,10,1,0,0,0,0,0,0
137.0608209,0.1310875,138.0680792,C_8 H_10 O_2,C8H10O2,C_8 H_9 O_2,353,8,1.25,0.25,8,10,2,0,0,0,0,0,0
137.0608352,0.2345074,138.0680792,C_8 H_10 O_2,C8H10O2,C_8 H_9 O_2,353,8,1.25,0.25,8,10,2,0,0,0,0,0,0
138.0196807,0.1028649,139.0269429,C_6 H_5 O_3 N_1,C6H5NO3,C_6 H_4 O_3 N_1,122,6,0.833,0.5,6,5,3,1,0,0,0,0,0
