name,count,type
Sample1_erin_mass_listhotw_0001_5ppm_8m_000001.csv,7406,control
Sample2_erin_mass_listhotw_0002_5ppm_8m_000002.csv,7367,control
Sample11_erin_mass_listhotw_0008_5ppm_8m_000001.csv,7456,control
Sample17_erin_mass_listhotw_0014_5ppm_8m_000001.csv,5555,control
Sample18_erin_mass_listhotw_0015_5ppm_8m_000001.csv,5111,control
Sample19_erin_mass_listhotw_0016_5ppm_8m_000001.csv,6305,control
Sample20_erin_mass_listhotw_0017_5ppm_8m_000001.csv,3811,control
Sample21_erin_mass_listhotw_0018_5ppm_8m_000001.csv,4718,control
Sample22_erin_mass_listhotw_0019_5ppm_8m_000001.csv,5081,control
Sample23_erin_mass_listhotw_0020_5ppm_8m_000001.csv,4976,control
Sample31_erin_mass_listhotw_0028_5ppm_8m_000001.csv,3948,control
Sample37_erin_mass_listhotw_0034_5ppm_8m_000001.csv,8620,control
Sample38_erin_mass_listhotw_0035_5ppm_8m_000001.csv,4429,control
Sample39_erin_mass_listhotw_0036_5ppm_8m_000001.csv,4625,control
Sample40_erin_mass_listhotw_0037_5ppm_8m_000001.csv,7486,control
Sample41_erin_mass_listhotw_0038_5ppm_8m_000001.csv,3702,control
Sample42_erin_mass_listhotw_0039_5ppm_8m_000001.csv,7380,control
Sample43_erin_mass_listhotw_0040_5ppm_8m_000001.csv,4796,control
Sample44_erin_mass_listhotw_0041_5ppm_8m_000001.csv,4576,control
Sample45_erin_mass_listhotw_0042_5ppm_8m_000001.csv,4750,control
Sample59_erin_mass_listhotw_0055_5ppm_8m_000001.csv,4079,control
Sample60_erin_mass_listhotw_0056_5ppm_8m_000001.csv,4791,control
Sample61_erin_mass_listhotw_0057_5ppm_8m_000001.csv,3058,control
Sample62_erin_mass_listhotw_0058_5ppm_8m_000001.csv,3380,control
Sample63_erin_mass_listhotw_0059_5ppm_8m_000001.csv,4062,control
Sample64_erin_mass_listhotw_0060_5ppm_8m_000001.csv,4464,control
Sample65_erin_mass_listhotw_0061_5ppm_8m_000001.csv,3579,control
Sample66_erin_mass_listhotw_0062_5ppm_8m_000001.csv,2870,control
Sample67_erin_mass_listhotw_0063_5ppm_8m_000001.csv,3791,control
Sample68_erin_mass_listhotw_0064_5ppm_8m_000001.csv,3751,control
Sample3_erin_mass_listhotw_0003_5ppm_8m_000002.csv,7911,burn
Sample6_erin_mass_listhotw_0004_5ppm_8m_000003.csv,7759,burn
Sample8_erin_mass_listhotw_0005_5ppm_8m_000002.csv,8055,burn
Sample9_erin_mass_listhotw_0006_5ppm_8m_000002.csv,8134,burn
Sample10_erin_mass_listhotw_0007_5ppm_8m_000002.csv,8417,burn
Sample12_erin_mass_listhotw_0009_5ppm_8m_000001.csv,8326,burn
Sample13_erin_mass_listhotw_0010_5ppm_8m_000001.csv,4596,burn
Sample14_erin_mass_listhotw_0010_5ppm_8m_000002.csv,5003,burn
Sample15_erin_mass_listhotw_0012_5ppm_8m_000001.csv,6076,burn
Sample16_erin_mass_listhotw_0013_5ppm_8m_000001.csv,5932,burn
Sample26_erin_mass_listhotw_0023_5ppm_8m_000001.csv,4053,burn
Sample27_erin_mass_listhotw_0024_5ppm_8m_000001.csv,3665,burn
Sample28_erin_mass_listhotw_0025_5ppm_8m_000001.csv,4483,burn
Sample29_erin_mass_listhotw_0026_5ppm_8m_000001.csv,3922,burn
Sample30_erin_mass_listhotw_0027_5ppm_8m_000001.csv,5295,burn
Sample32_erin_mass_listhotw_0029_5ppm_8m_000001.csv,4426,burn
Sample33_erin_mass_listhotw_0030_5ppm_8m_000001.csv,4955,burn
Sample34_erin_mass_listhotw_0031_5ppm_8m_000001.csv,4112,burn
Sample35_erin_mass_listhotw_0032_5ppm_8m_000001.csv,5090,burn
Sample36_erin_mass_listhotw_0033_5ppm_8m_000001.csv,4668,burn
Sample48_erin_mass_listhotw_0045_5ppm_8m_000001.csv,4774,burn
Sample49_erin_mass_listhotw_0046_5ppm_8m_000001.csv,5939,burn
Sample50_erin_mass_listhotw_0047_5ppm_8m_000001.csv,4182,burn
Sample51_erin_mass_listhotw_0048_5ppm_8m_000001.csv,3502,burn
Sample52_erin_mass_listhotw_0049_5ppm_8m_000001.csv,4092,burn
Sample54_erin_mass_listhotw_0050_5ppm_8m_000001.csv,3726,burn
Sample55_erin_mass_listhotw_0051_5ppm_8m_000001.csv,4228,burn
Sample56_erin_mass_listhotw_0052_5ppm_8m_000001.csv,3082,burn
Sample57_erin_mass_listhotw_0053_5ppm_8m_000001.csv,4060,burn
Sample58_erin_mass_listhotw_0054_5ppm_8m_000001.csv,3353,burn
