watershed,duplicate,sample_id,ftms_name,treatment,date,trip,IC,TOC.mgL,TN.mgL,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,SUVA,burn_mean,burn_sd,temp,do2_mg_l,cond_us_cm,ph,orp_mv,GFE,NOSC,AI_Mod,DBE_1,h.c.wtavg,o.c.wtavg,transformations,alk.meqL,Cl.mgL,SO4.mgL,NO2.NO3.mgL,NH4.mgL,DOC.mgL,DIC.mgL,waterlab_TN.mgL,year,area,slope,hw_burn_mean_ifls,hw_burn_mean_haifls,prop_wet_area,
ct01,no,HOTW_0001,Sample1_erin_mass_listhotw_0001_5ppm_8m_000001.csv,control,6/5/2023,june,6.269,16.84,0.3803,1.094896779,18.42345305,0.948515848,0.386077279,178.8446983,104.1411093,4.732024587,0.012773914,0.016838976,0.758592122,0.191679943,0.182201586,0.133338301,0.187010624,0.245826273,0.050940585,0.009002688,4.612307933,72.01596157,148.1869872,9.4,7.26,18.7,7.59,188,60.4185499,-0.004159646,0.325783069,11.70129125,1.072534738,0.529814277,450,0.359330416,0.07283943,0.029073514,0.009,0.02,17.033,3.967,0.401,2023,258.639,23.48,1.93E+01,2.81E+01,0.245310497,7406
rb05,no,HOTW_0007,Sample10_erin_mass_listhotw_0007_5ppm_8m_000002.csv,burn,6/7/2023,june,4.13,23.45,0.4609,1.187005448,13.27614043,0.929953057,0.357117164,286.8492477,170.6744214,4.481283219,0.012354545,0.017328938,0.71294301,0.153333258,0.127928345,0.106673241,0.252476725,0.235469624,0.087468508,0.036650298,5.312453962,242.6826546,222.078259,14.3,6.24,15.1,6.14,126.3,59.41208004,0.031155086,0.357317366,12.34203872,1.030227291,0.525729389,484,0.185857788,0.080139218,0.316354225,0.015,0.025,20.118,1.923,0.459,2023,625.487,18.3,2.08E+02,1.78E+02,0.577373095,8417
ct03,no,HOTW_0008,Sample11_erin_mass_listhotw_0008_5ppm_8m_000001.csv,control,6/14/2023,june,7.649,13.74,0.4126,1.140517808,15.70611341,0.940141673,0.38046691,152.8704537,93.04403276,4.235508309,0.01176796,0.015934003,0.738543815,0.183830786,0.158374885,0.137720243,0.142035748,0.289121353,0.065088913,0.023828072,4.831935553,-8.412427113,18.00719541,6.7,11.6,28.1,7.41,389.1,61.57936643,-0.04489005,0.337285893,11.84428066,1.071163852,0.508979445,449,0.598810196,0.086334583,1.580679285,0.058,0.021,13.082,6.991,0.343,2023,550.584,21.76,9.05E-01,1.42E+00,0.207175052,7456
rb06,no,HOTW_0009,Sample12_erin_mass_listhotw_0009_5ppm_8m_000001.csv,burn,6/10/2023,june,2.252,35.03,0.6506,1.137069328,16.33838149,0.94232449,0.356706638,203.5817363,119.9611351,4.654687966,0.012502823,0.017255578,0.724567021,0.213860659,0.185626293,0.160454191,0.213507617,0.172527296,0.048772339,0.005251604,2.523963023,305.6160965,179.1456796,11,11.26,12.5,6.34,124.2,60.68882814,-0.013643093,0.347445907,11.68709717,1.054773279,0.515720775,480,0.181813359,0.071188376,0.224279083,0.011,0.027,32.958,1.059,0.619,2023,158.232,22.62,2.71E+02,2.99E+02,0.456749206,8326
rb07,no,HOTW_0010,Sample13_erin_mass_listhotw_0010_5ppm_8m_000001.csv,burn,6/11/2023,june,7.067,16.27,0.4174,1.138751491,17.26214271,0.945241913,0.377456849,209.2925459,124.9797646,4.433460282,0.012266116,0.016730309,0.733167353,0.167484134,0.150555579,0.131661138,0.211209494,0.262900315,0.059938108,0.016251232,5.586637849,418.1998889,133.6364084,9.6,10.62,27,7.6,121,63.12668169,-0.099181814,0.326304067,12.25983625,1.091368759,0.492410751,320,0.512472868,0.14626817,1.183369525,0.019,0.022,16.096,5.913,0.366,2023,244.663,23.8,4.10E+02,4.15E+02,0.427174181,4596
rb08,no,HOTW_0011,Sample14_erin_mass_listhotw_0010_5ppm_8m_000002.csv,burn,6/12/2023,june,2.407,45.65,0.8075,1.116102101,15.68896058,0.940080151,0.343777989,329.8940925,202.2511346,4.210780749,0.011593727,0.01633198,0.709878835,0.162744442,0.123350882,0.13947235,0.350067618,0.165520236,0.043831782,0.015012689,3.138470624,352.1213267,183.0486719,10.5,8.85,14.1,5.09,185.6,62.37402791,-0.072772909,0.330345867,12.41509511,1.080157817,0.499871649,342,0.084349953,0.151921118,0.101876,0.051,0.046,42.226,0.746,0.759,2023,127.124,19.69,3.51E+02,3.52E+02,0.444033507,5003
rb09,no,HOTW_0012,Sample15_erin_mass_listhotw_0012_5ppm_8m_000001.csv,burn,6/12/2023,june,8.651,42.86,0.8281,1.206725712,15.92850069,0.940928023,0.38889051,300.4262136,182.0724483,4.200864009,0.011954742,0.01581188,0.756060778,0.191175015,0.155495569,0.129460254,0.27466402,0.164481269,0.067101689,0.017622186,3.04417748,367.6752802,145.1677841,15.5,1.56,15.3,5.13,153.6,60.4306007,-0.004582481,0.353406771,12.73763977,1.038751474,0.512421551,402,0.235917524,0.057392375,0.061488398,0.009,0.071,38.536,2.352,0.664,2023,125.586,23.63,3.89E+02,4.16E+02,0.204743621,6076
rb10,no,HOTW_0013,Sample16_erin_mass_listhotw_0013_5ppm_8m_000001.csv,burn,6/12/2023,june,3.346,25.52,0.5945,1.162729294,13.16124828,0.929384756,0.395611536,315.0151128,185.5965644,4.501983134,0.012713967,0.016505646,0.770279909,0.126426512,0.106147405,0.088223955,0.306955567,0.250036348,0.086615568,0.035594645,5.360866975,334.7992311,156.4059124,15.5,7.15,13.6,5.72,171.6,59.12480136,0.04123504,0.363832414,12.55576413,1.019262217,0.525588193,404,0.128416017,0.200792112,0.361787084,0.007,0.03,25.698,1.112,0.677,2023,123.961,24.88,3.70E+02,3.68E+02,0.316759867,5932
ct04,no,HOTW_0014,Sample17_erin_mass_listhotw_0014_5ppm_8m_000001.csv,control,6/14/2023,june,3.667,39,0.6897,1.088487086,18.53083578,0.948798914,0.349532364,231.9961653,135.5622967,4.705150303,0.012655413,0.017439773,0.725663824,0.207210337,0.172354453,0.164249606,0.240435384,0.165107061,0.043857682,0.006785477,2.583452677,-0.716914378,16.88655743,9.6,6.98,14.6,5.83,317.7,61.27813649,-0.034320578,0.328575191,12.24319163,1.074178759,0.515533372,378,0.211254254,0.019986553,0.143795163,0.031,0.034,33.156,0.67,0.661,2023,184.649,19.84,0.00E+00,0.00E+00,0.555843944,5555
ct05,no,HOTW_0015,Sample18_erin_mass_listhotw_0015_5ppm_8m_000001.csv,control,6/14/2023,june,5.132,23.92,0.4967,1.229809435,20.96687081,0.954476903,0.3749545,273.1662739,157.8300816,4.7127287,0.012986303,0.016934124,0.766871836,0.173762276,0.153348377,0.121588814,0.276094454,0.186310129,0.05637687,0.03251908,4.959640694,-7.308572512,26.44137156,10.8,6.84,19.7,6.29,208.9,61.3640349,-0.037334558,0.329049436,12.17742384,1.074536269,0.514240251,349,0.314770818,0.472664811,0.171008192,0.009,0.018,24.488,3.177,0.378,2023,694.103,21.46,2.13E+00,2.26E+00,0.452082971,5111
