watershed,duplicate,sample_id,ftms_name,treatment,date,trip,IC,TOC.mgL,TN.mgL,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,SUVA,burn_mean,burn_sd,temp,do2_mg_l,cond_us_cm,ph,orp_mv,GFE,NOSC,AI_Mod,DBE_1,h.c.wtavg,o.c.wtavg,transformations,bc
rb05,no,HOTW_0007,Sample10_erin_mass_listhotw_0007_5ppm_8m_000002.csv,burn,6/7/2023,june,4.13,23.45,0.4609,1.187005448,13.27614043,0.929953057,0.357117164,286.8492477,170.6744214,4.481283219,0.012354545,0.017328938,0.71294301,3.163424851,2.639295032,2.200780091,5.20885785,4.857983628,1.804566442,0.756133827,5.312453962,242.6826546,222.078259,14.3,6.24,15.1,6.14,126.3,59.41208004,0.031155086,0.357317366,12.34203872,1.030227291,0.525729389,484,0.02870438
rb06,no,HOTW_0009,Sample12_erin_mass_listhotw_0009_5ppm_8m_000001.csv,burn,6/10/2023,june,2.252,35.03,0.6506,1.137069328,16.33838149,0.94232449,0.356706638,203.5817363,119.9611351,4.654687966,0.012502823,0.017255578,0.724567021,4.29403332,3.727125365,3.221703537,4.286944721,3.464115202,0.97928273,0.105445125,2.523963023,305.6160965,179.1456796,11,11.26,12.5,6.34,124.2,60.68882814,-0.013643093,0.347445907,11.68709717,1.054773279,0.515720775,480,0.026394807
rb07,no,HOTW_0010,Sample13_erin_mass_listhotw_0010_5ppm_8m_000001.csv,burn,6/11/2023,june,7.067,16.27,0.4174,1.138751491,17.26214271,0.945241913,0.377456849,209.2925459,124.9797646,4.433460282,0.012266116,0.016730309,0.733167353,2.534056973,2.277925707,1.992050329,3.195627412,3.977716327,0.906871449,0.245883284,5.586637849,418.1998889,133.6364084,9.6,10.62,27,7.6,121,63.12668169,-0.099181814,0.326304067,12.25983625,1.091368759,0.492410751,320,0.02284851
rb08,no,HOTW_0011,Sample14_erin_mass_listhotw_0010_5ppm_8m_000002.csv,burn,6/12/2023,june,2.407,45.65,0.8075,1.116102101,15.68896058,0.940080151,0.343777989,329.8940925,202.2511346,4.210780749,0.011593727,0.01633198,0.709878835,4.517299341,3.423851838,3.871335614,9.716830869,4.594347082,1.216639279,0.416707377,3.138470624,352.1213267,183.0486719,10.5,8.85,14.1,5.09,185.6,62.37402791,-0.072772909,0.330345867,12.41509511,1.080157817,0.499871649,342,0.023273533
rb09,no,HOTW_0012,Sample15_erin_mass_listhotw_0012_5ppm_8m_000001.csv,burn,6/12/2023,june,8.651,42.86,0.8281,1.206725712,15.92850069,0.940928023,0.38889051,300.4262136,182.0724483,4.200864009,0.011954742,0.01581188,0.756060778,5.249114788,4.269460041,3.554605349,7.541482162,4.516181467,1.842418925,0.483854412,3.04417748,367.6752802,145.1677841,15.5,1.56,15.3,5.13,153.6,60.4306007,-0.004582481,0.353406771,12.73763977,1.038751474,0.512421551,402,0.026574328
rb10,no,HOTW_0013,Sample16_erin_mass_listhotw_0013_5ppm_8m_000001.csv,burn,6/12/2023,june,3.346,25.52,0.5945,1.162729294,13.16124828,0.929384756,0.395611536,315.0151128,185.5965644,4.501983134,0.012713967,0.016505646,0.770279909,2.985053025,2.506243571,2.083053468,7.247519774,5.903601596,2.045077897,0.840424232,5.360866975,334.7992311,156.4059124,15.5,7.15,13.6,5.72,171.6,59.12480136,0.04123504,0.363832414,12.55576413,1.019262217,0.525588193,404,0.030356378
rb01,no,HOTW_0023,Sample26_erin_mass_listhotw_0023_5ppm_8m_000001.csv,burn,7/20/2023,july,1.585,25.39,0.6872,1.033601187,16.33361871,0.942308642,0.344997117,184.3704471,113.0273647,4.105660031,0.011640281,0.015794665,0.736975466,3.204480743,2.955120357,2.405677981,3.650266677,3.316739262,1.020580713,0.078564181,3.153645837,299.0340721,197.1052781,15.6,9.21,22.7,6.69,187.9,58.63796434,0.058317041,0.354737624,12.17733022,1.026425755,0.53768595,305,0.028621471
rb02,no,HOTW_0024,Sample27_erin_mass_listhotw_0024_5ppm_8m_000001.csv,burn,7/22/2023,july,3.729,34.43,0.6911,1.145313183,18.5200622,0.948770655,0.346964966,245.2884583,150.039657,4.170225507,0.011557851,0.016242873,0.711564452,4.141490292,3.692195438,3.236684259,6.145432457,3.320648055,1.785835063,0,3.094029158,331.1192739,177.632105,13.9,5.67,23.6,6.2,133.2,62.55609795,-0.079161332,0.324238998,12.06191897,1.090073622,0.501316781,272,0.022128291
rb03,no,HOTW_0025,Sample28_erin_mass_listhotw_0025_5ppm_8m_000001.csv,burn,7/22/2023,july,5.838,40.26,0.8822,1.14103853,15.63894346,0.93990003,0.356607728,279.4816194,172.6531614,4.134185327,0.011359754,0.01611219,0.705040932,4.655864079,3.943609003,3.466495102,8.400641866,4.554371113,2.114752225,0.263890536,3.014836689,348.1801207,168.1537215,17.8,6.71,31.9,5.77,218.8,58.12246522,0.076404729,0.362221835,12.45582576,1.013695759,0.540040548,316,0.030242422
rb04,no,HOTW_0026,Sample29_erin_mass_listhotw_0026_5ppm_8m_000001.csv,burn,7/21/2023,july,8.678,12.57,0.3093,1.151839144,16.00817306,0.941204737,0.321365243,157.6225537,96.27069844,4.141516692,0.011793183,0.015804459,0.746193403,1.680693753,1.556160883,1.305388614,1.527150196,2.996637859,0.583332875,0,5.445871543,356.0769795,155.1876643,12.3,10.1,57.4,7.22,173,60.67938396,-0.013311718,0.345111237,11.89716307,1.054504828,0.516388587,298,0.025461575
